Vardas              Pavarde             ND1   ND2   ND3   ND4   ND5   ND6   ND7   Egz.  
Vardas1             Pavarde1            1     9     4     3     3     7     3     7     
Vardas2             Pavarde2            10    4     4     6     1     7     8     1     
Vardas3             Pavarde3            6     10    8     2     1     1     3     10    
Vardas4             Pavarde4            10    6     8     8     7     1     6     3     
Vardas5             Pavarde5            1     4     10    7     1     6     7     4     
Vardas6             Pavarde6            4     9     5     9     6     5     5     10    
Vardas7             Pavarde7            9     1     9     8     4     2     4     1     
Vardas8             Pavarde8            1     8     1     6     9     4     5     7     
Vardas9             Pavarde9            9     8     8     2     10    9     6     9     
Vardas10            Pavarde10           3     10    3     10    9     10    7     6     
Vardas11            Pavarde11           10    8     9     3     6     7     10    10    
Vardas12            Pavarde12           5     10    2     6     8     8     6     3     
Vardas13            Pavarde13           8     8     8     4     3     9     1     8     
Vardas14            Pavarde14           6     1     7     7     4     4     8     7     
Vardas15            Pavarde15           6     2     7     10    3     5     4     8     
Vardas16            Pavarde16           1     7     1     2     7     3     3     1     
Vardas17            Pavarde17           6     8     8     8     10    6     2     3     
Vardas18            Pavarde18           5     8     3     3     8     4     10    4     
Vardas19            Pavarde19           2     2     5     10    6     4     8     7     
Vardas20            Pavarde20           6     4     6     3     6     2     1     4     
Vardas21            Pavarde21           3     5     10    1     7     10    2     5     
Vardas22            Pavarde22           7     8     9     2     2     4     4     5     
Vardas23            Pavarde23           7     4     1     8     8     1     5     7     
Vardas24            Pavarde24           1     4     5     6     2     6     8     4     
Vardas25            Pavarde25           8     6     7     1     3     1     8     9     
Vardas26            Pavarde26           1     8     7     8     4     3     4     6     
Vardas27            Pavarde27           4     2     10    9     4     7     7     6     
Vardas28            Pavarde28           7     7     6     2     5     9     2     8     
Vardas29            Pavarde29           7     1     3     4     6     9     8     8     
Vardas30            Pavarde30           4     10    1     10    4     10    6     2     
Vardas31            Pavarde31           8     2     8     2     3     7     2     9     
Vardas32            Pavarde32           5     1     7     4     1     6     3     6     
Vardas33            Pavarde33           7     5     4     5     9     10    8     4     
Vardas34            Pavarde34           1     2     2     6     5     5     2     1     
Vardas35            Pavarde35           2     10    5     3     9     5     10    4     
Vardas36            Pavarde36           9     5     6     5     8     4     7     6     
Vardas37            Pavarde37           3     4     8     4     9     4     8     2     
Vardas38            Pavarde38           7     6     4     5     7     5     2     8     
Vardas39            Pavarde39           8     6     1     10    5     3     5     7     
Vardas40            Pavarde40           8     8     2     4     10    8     2     7     
Vardas41            Pavarde41           8     9     3     9     1     9     6     10    
Vardas42            Pavarde42           9     6     8     9     3     5     7     1     
